num	short	category	num_in_cat	long	unit	dtype	description	value	accepted_ranges	flag
1221	TL_distribution_min	tvb_IDP_TL_distribution	1	TL_distribution_min	mm (log 10)	float	Tract length distance minimum	2.040779e-01		N/A
1222	TL_distribution_max	tvb_IDP_TL_distribution	2	TL_distribution_max	mm (log 10)	float	Tract length distance maximum	2.280749e+00		N/A
1223	TL_distribution_median	tvb_IDP_TL_distribution	3	TL_distribution_median	mm (log 10)	float	Tract length distance median	1.766264e+00		N/A
1224	TL_distribution_mean	tvb_IDP_TL_distribution	4	TL_distribution_mean	mm (log 10)	float	Tract length distance mean	1.642191e+00		N/A
1225	TL_distribution_mean_to_max	tvb_IDP_TL_distribution	5	TL_distribution_mean_to_max	mm (log 10)	float	Tract length distance from mean to max	6.385576e-01		N/A
1226	TL_distribution_median_to_max	tvb_IDP_TL_distribution	6	TL_distribution_median_to_max	mm (log 10)	float	Tract length distance from median to max	5.144851e-01		N/A
1227	TL_distribution_range	tvb_IDP_TL_distribution	7	TL_distribution_range	mm (log 10)	float	Tract length distance range	2.076671e+00		N/A
1228	TL_distribution_proportion_neg	tvb_IDP_TL_distribution	8	TL_distribution_proportion_neg	proportion of non-nan  and non-inf tracts	float	Tract length distance - proportion of non-nan  and non-inf tracts with negative distance	0.000000e+00		N/A
1229	TL_nan_lines	tvb_IDP_TL_distribution	9	TL_nan_lines	line number	float	Tract length distance - line numbers of rows with all NaNs	nan		N/A
1230	TL_num_nan	tvb_IDP_TL_distribution	10	TL_number_of_nan_lines	number of lines	float	Tract length distance - number of all NaN rows	0.000000e+00		N/A
1231	TL_distribution_proportion_zero	tvb_IDP_TL_distribution	11	TL_distribution_proportion_zeroes	proportion of non-nan  and non-inf tracts	float	Tract length distance - proportion of non-nan  and non-inf tracts with 0 distance	0.000000e+00		N/A
1232	TL_lognorm_MSE	tvb_IDP_TL_distribution	12	TL_lognorm_Mean_Squared_Error	pearon correlation coefficient 2 (log 10)	float	Structural connectivity - mean squared error for lognorm distribution fit	1.067473e-01		N/A
